"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.55558199901428,0.901,0.238,0,"0","PAEP"
0,3.11013910632773,0.975,0.356,0,"0","SCGB1D2"
0,3.03729557404366,0.734,0.194,0,"0","SEMA3B"
0,2.29045328137949,0.986,0.511,0,"0","SCGB2A1"
0,3.97858838219431,0.682,0.211,0,"0","CCL20"
0,2.9753288280448,0.605,0.157,0,"0","PLAUR"
0,2.72267117931644,0.834,0.399,0,"0","SLC7A2"
0,3.55356993021861,0.495,0.094,0,"0","S100P"
0,3.72177418681352,0.453,0.08,0,"0","PTGS2"
0,2.91546863416109,0.62,0.249,0,"0","TFPI2"
0,2.28899756664022,0.758,0.392,0,"0","TMPRSS3"
0,2.67697673020601,0.581,0.216,0,"0","NDRG1"
0,2.53287750063988,0.497,0.138,0,"0","SERPINA5"
0,3.08391472198535,0.509,0.161,0,"0","TFF1"
0,2.67731618971096,0.949,0.606,0,"0","CD55"
0,3.1368179694026,0.498,0.157,0,"0","DEFB1"
0,2.98510338556125,0.553,0.214,0,"0","RIMKLB"
0,2.2481305346859,0.844,0.514,0,"0","ERO1A"
0,2.20000726291168,0.574,0.254,0,"0","RP11-841O20.2"
0,1.69682695100265,0.629,0.311,0,"0","ISG20"
0,1.67614052221103,0.573,0.26,0,"0","C3"
0,1.91190566575419,0.646,0.334,0,"0","LAMB3"
0,2.20419878572831,0.711,0.41,0,"0","IGFBP4"
0,1.92302661239181,0.629,0.333,0,"0","LGALS1"
0,2.70074180237847,0.522,0.227,0,"0","BHLHE40"
0,2.22840571787903,0.658,0.366,0,"0","VEGFA"
0,2.19034306547228,0.584,0.294,0,"0","GPRC5A"
0,1.58328461093223,0.624,0.349,0,"0","EGLN3"
0,2.70156741349809,0.414,0.141,0,"0","PKDCC"
0,2.8434192018037,0.339,0.066,0,"0","ALPP"
0,1.75247889857206,0.718,0.445,0,"0","HES4"
0,2.75169351608027,0.395,0.124,0,"0","FAM150B"
0,2.13723713859152,0.706,0.435,0,"0","EFHD2"
0,3.35678676912458,0.354,0.087,0,"0","STC2"
0,2.40907036617661,0.42,0.153,0,"0","AMN"
0,1.6647075849808,0.642,0.381,0,"0","SLC16A3"
0,2.98509323069203,0.422,0.165,0,"0","FGFBP1"
0,2.03754048478428,0.565,0.309,0,"0","BIRC3"
0,2.02911882881491,0.717,0.464,0,"0","PIM3"
0,1.69132684519478,0.793,0.548,0,"0","S100A14"
0,2.42714449883761,0.658,0.415,0,"0","HILPDA"
0,1.86455299339391,0.556,0.313,0,"0","PCCA"
0,1.66021239808326,0.519,0.276,0,"0","G0S2"
0,1.25393185138662,0.444,0.203,0,"0","IL32"
0,2.98885986514512,0.944,0.706,0,"0","SOD2"
0,2.15792718566948,0.995,0.76,0,"0","TFF3"
0,2.38085618303032,0.377,0.148,0,"0","MUC5AC"
0,1.62274535874718,0.773,0.544,0,"0","P4HA1"
0,2.2014152031067,0.423,0.196,0,"0","CREBRF"
0,2.25962744739448,0.389,0.163,0,"0","SLCO4A1"
0,1.42523775344567,0.736,0.512,0,"0","HLA-B"
0,2.45950741198212,0.322,0.099,0,"0","ABCG1"
0,1.58269342169558,0.781,0.563,0,"0","CEBPD"
0,1.85037929652689,0.632,0.417,0,"0","RNF19A"
0,2.10380013736488,0.468,0.254,0,"0","USP53"
0,2.54391396432786,0.331,0.123,0,"0","IGFBP5"
0,2.23709093651232,0.32,0.12,0,"0","GBP2"
0,2.04752173071015,0.951,0.756,0,"0","ITGB8"
0,1.43149397404041,0.547,0.362,0,"0","LEMD1"
0,2.04716912996121,0.377,0.194,0,"0","FOSL2"
0,2.11129921005199,0.3,0.119,0,"0","ENO2"
0,1.54578107780713,0.586,0.405,0,"0","MAFF"
0,1.79283391112423,0.487,0.315,0,"0","MPZL2"
0,1.79008310603082,0.462,0.291,0,"0","RHOV"
0,2.07345121876815,0.998,0.829,0,"0","SLPI"
0,2.22203136652201,0.615,0.446,0,"0","GDF15"
0,2.22698058373804,0.597,0.433,0,"0","GADD45A"
0,1.6387732579514,0.613,0.45,0,"0","RIOK3"
0,1.50523682191469,0.541,0.381,0,"0","B4GALT1"
0,1.57064058115515,0.645,0.506,0,"0","SLC2A1"
0,1.36075646366436,0.554,0.417,0,"0","PODXL"
0,1.31496169741824,0.726,0.602,0,"0","HLA-E"
0,1.52552241018934,0.577,0.464,0,"0","EIF4EBP1"
0,1.55703787054492,0.585,0.474,0,"0","SDC4"
0,1.27451842746969,0.616,0.509,0,"0","KCNK1"
0,1.55066693538322,0.768,0.662,0,"0","TNFAIP2"
0,1.25259578928313,0.817,0.712,0,"0","ZFP36L1"
0,1.23924879733462,0.711,0.621,0,"0","WDR45B"
0,1.4900242272588,0.978,0.891,0,"0","RNASET2"
0,1.26595018661233,0.782,0.696,0,"0","IER5L"
0,1.13919144418919,0.824,0.75,0,"0","PNRC1"
0,0.869178625821962,0.968,0.906,0,"0","S100A10"
0,1.05795308008681,0.694,0.635,0,"0","SQSTM1"
0,1.04819231066689,0.918,0.861,0,"0","ELF3"
0,0.993624241115029,0.777,0.722,0,"0","QSOX1"
0,0.790008743171602,0.953,0.903,0,"0","LDHA"
0,0.917327496050853,0.936,0.887,0,"0","LGALS3"
0,0.876372457153329,0.838,0.789,0,"0","HSPB1"
0,1.07859306430086,0.857,0.81,0,"0","SPINT1"
0,1.42158498163859,0.962,0.919,0,"0","TXNIP"
0,0.948823804983866,0.869,0.827,0,"0","MYDGF"
0,0.854716280398203,0.811,0.77,0,"0","SSR3"
0,1.1617694981748,0.96,0.92,0,"0","TSPO"
0,0.948414293623732,0.847,0.808,0,"0","SNHG7"
0,1.06856567434248,0.887,0.851,0,"0","SH3YL1"
0,1.06570057814871,0.933,0.897,0,"0","LMAN1"
0,1.0118384274731,0.779,0.744,0,"0","KIAA1551"
0,0.641853069833384,0.86,0.892,0,"0","ATP6V0E1"
0,0.697428198909091,0.909,0.937,0,"0","EIF4A2"
0,0.303353588328728,0.961,0.934,0,"0","CIB1"
0,0.54947630360651,0.91,0.887,0,"0","PERP"
0,0.785295653985612,0.898,0.881,0,"0","C4orf3"
0,0.447108650118041,0.954,0.97,0,"0","COX7A2"
0,0.840499893423293,0.999,0.984,0,"0","S100A6"
0,1.13447348708458,0.729,0.715,0,"0","FAM213A"
0,0.747260937967113,0.881,0.869,0,"0","PGK1"
0,0.886841839122212,0.993,0.981,0,"0","ALDOA"
0,0.984015575671524,0.985,0.974,0,"0","ZFAS1"
0,0.568650615346441,0.98,0.99,0,"0","ITM2B"
0,1.7427170484158,1,0.993,0,"0","SAT1"
0,1.1396530400982,0.999,0.993,0,"0","WFDC2"
0,0.774726225957478,0.865,0.87,0,"0","SERP1"
0,0.749622623459799,0.991,0.986,0,"0","KRT19"
0,0.397986191012794,0.976,0.98,0,"0","GPX4"
0,1.67680034439391,0.998,0.995,0,"0","NEAT1"
0,0.695666372011376,0.998,0.995,0,"0","FTL"
0,0.701592626693687,0.98,0.981,0,"0","CLDN3"
0,0.987000469417838,0.845,0.844,0,"0","TIMP1"
0,0.952679756618239,1,1,0,"0","TMSB10"
0,1.93244015673175,1,1,0,"0","FTH1"
0,0.869877262142804,1,1,0,"0","MALAT1"
0,0.584794462470532,1,1,0,"0","GAPDH"
0,0.585509249275662,0.989,0.989,0,"0","UBC"
0,0.619682453555217,1,1,0,"0","EIF1"
0,0.614743595505619,1,1,0,"0","MT-ND2"
0,0.320391378299637,1,1,0,"0","MT-ND4"
0,0.399667396399807,1,1,0,"0","MT-ND5"
4.33706209840717e-305,0.807439817048197,0.785,0.781,1.18202290429989e-300,"0","WSB1"
1.16950025786703e-303,0.974388395328799,0.722,0.657,3.1873560027908e-299,"0","RAB11FIP1"
7.84014101221016e-303,0.807298919698224,0.746,0.721,2.13675203146776e-298,"0","FAM162A"
1.95599172829843e-297,1.0898549484789,0.909,0.919,5.33085985630454e-293,"0","CLDN4"
2.1784589974825e-296,0.972842304659551,0.602,0.437,5.9371721517388e-292,"0","C2orf88"
4.7330390166299e-296,0.724673329755676,0.84,0.833,1.28994245359231e-291,"0","MUC1"
3.63205245789219e-293,1.67968142780667,0.503,0.357,9.89879576873937e-289,"0","F3"
2.12704756070577e-292,1.6444384906986,0.448,0.302,5.79705542194749e-288,"0","SESTD1"
6.63392039686244e-287,0.746143734100022,0.773,0.772,1.80800866496089e-282,"0","KDELR2"
3.65515206111408e-280,1.1359209266365,0.579,0.423,9.96175142736031e-276,"0","HIST2H2AA4"
2.42479384385807e-279,1.62736885583864,0.399,0.239,6.60853314205079e-275,"0","MMEL1"
6.99303713420149e-278,1.34189687506912,0.485,0.342,1.90588234055527e-273,"0","RRAS"
1.66376423169245e-270,1.43886231155491,0.492,0.364,4.53442303705461e-266,"0","PRSS22"
3.93284842079164e-268,0.826344659843374,0.717,0.716,1.07185850860255e-263,"0","PPP1CB"
4.27262806864839e-267,0.314735680204071,0.99,0.994,1.16446205382943e-262,"0","S100A11"
2.21035396466513e-263,0.983990598376018,0.688,0.628,6.02409869529835e-259,"0","IFITM2"
1.16943832034533e-260,1.93330718712261,0.356,0.208,3.18718719826917e-256,"0","B4GALT4"
4.05558716138318e-260,1.06715906671876,0.617,0.536,1.10530972496337e-255,"0","BNIP3L"
2.07581468221041e-258,1.08584843315652,0.572,0.424,5.65742533489626e-254,"0","HIST2H2AA3"
1.93506932315372e-257,1.33313691008965,0.402,0.23,5.27383793332314e-253,"0","CPM"
7.95475316621999e-256,0.440471342525944,0.972,0.984,2.1679884279216e-251,"0","MT-ND4L"
3.27466200690362e-252,0.919719887111827,0.674,0.662,8.92476383361513e-248,"0","TMEM165"
9.36151135440454e-251,1.88691943635288,0.333,0.186,2.55138630452941e-246,"0","ELK4"
2.8110621477413e-250,1.11446743181005,0.563,0.461,7.66126877745413e-246,"0","YPEL3"
2.92421660620823e-249,1.1717963463051,0.703,0.696,7.96965993855992e-245,"0","SERPINB1"
4.97615389946652e-246,1.15539724413169,0.543,0.445,1.35620098376061e-241,"0","TNIP1"
1.05192352786228e-243,0.892078827315954,0.71,0.615,2.86691238283587e-239,"0","MUC5B"
1.27842583749116e-243,0.409893395213619,0.964,0.982,3.4842217774984e-239,"0","SSR4"
1.76589316789172e-242,0.566873456823274,0.888,0.871,4.81276523977209e-238,"0","RARRES2"
2.27931904855442e-241,1.81933016313733,0.329,0.184,6.21205613493022e-237,"0","LIF"
1.88778467785454e-233,1.84833788708047,0.378,0.242,5.14496836102476e-229,"0","DUSP5"
1.32142874027421e-232,0.582103766912358,0.806,0.761,3.60142188874333e-228,"0","ASRGL1"
7.17138797736472e-223,0.816439280435345,0.77,0.747,1.95449007935098e-218,"0","KRT7"
7.4244617873738e-223,0.299019030133334,1,1,2.02346281553086e-218,"0","TMSB4X"
1.17880478554186e-214,1.64973998202488,0.341,0.207,3.21271456251578e-210,"0","FAM114A1"
2.11180539782889e-214,0.435765683199815,0.891,0.839,5.75551443124285e-210,"0","ANXA1"
1.84253290536783e-211,1.20032926168097,0.524,0.45,5.0216391802895e-207,"0","KLF3"
3.37582749405154e-210,1.39072440512695,0.395,0.257,9.20048025228807e-206,"0","CAV1"
6.33204620748037e-210,0.692325806422971,0.827,0.799,1.7257358733867e-205,"0","NFKBIA"
1.07468423176624e-209,0.283339729826352,0.876,0.75,2.92894440525572e-205,"0","MMP7"
1.35982770393325e-207,0.482008157140038,0.902,0.879,3.70607442429968e-203,"0","TACSTD2"
6.57523446817385e-198,0.607825543264699,0.756,0.779,1.7920144019561e-193,"0","CD46"
1.11270750584614e-197,0.615211880977406,0.947,0.962,3.03257303643307e-193,"0","JUND"
4.91507790465094e-191,0.702520281220306,0.744,0.769,1.33955533213357e-186,"0","TAF1D"
6.48905862016122e-190,0.33574234127783,0.896,0.918,1.76852803633874e-185,"0","YBX3"
4.99120641310801e-187,1.21146772870699,0.386,0.251,1.36030339582846e-182,"0","STC1"
2.97011489810117e-185,1.16873895280564,0.562,0.45,8.09475114328492e-181,"0","CXCL8"
1.84394809781772e-178,1.03898631973538,0.422,0.291,5.02549614579242e-174,"0","TGM2"
6.27054910295502e-178,1.26079383702304,0.472,0.394,1.70897545251936e-173,"0","DYNLT3"
3.26738216614402e-176,1.05349686094211,0.526,0.465,8.9049233556089e-172,"0","BLVRB"
1.91991251117737e-174,1.11969201793075,0.481,0.376,5.2325295579628e-170,"0","CH507-513H4.5"
8.61860969924119e-174,1.62125076790571,0.342,0.227,2.34891588743119e-169,"0","DNAJB9"
6.7324197273545e-172,0.646166599490872,0.779,0.804,1.8348536724932e-167,"0","EPB41L4A-AS1"
1.6861399786096e-171,1.05928041598268,0.495,0.409,4.5954058977026e-167,"0","HOMER2"
6.10861569071689e-170,0.642233641574154,0.741,0.767,1.66484212034798e-165,"0","PTTG1IP"
4.08139918172981e-168,1.50967422879304,0.351,0.24,1.11234453298864e-163,"0","TMBIM1"
6.69015734222223e-168,0.476142129882912,0.743,0.756,1.82333548204925e-163,"0","CHMP5"
3.56035653930858e-167,0.949883546771018,0.619,0.63,9.70339571223161e-163,"0","HIF1A"
9.92586724298401e-165,0.593651839321953,0.594,0.473,2.70519585840286e-160,"0","SERPINA1"
8.6907152324681e-160,1.40163471848887,0.331,0.214,2.36856752945686e-155,"0","P4HA2"
1.52446667496792e-159,0.189457641781155,1,1,4.15478147595756e-155,"0","RPS16"
1.80039923108979e-159,1.07990345545853,0.437,0.329,4.90680806441212e-155,"0","CD44"
1.34592795172836e-158,0.202171381841218,0.34,0.202,3.66819203964047e-154,"0","SAA1"
1.22148370798752e-157,0.629935722917185,0.728,0.746,3.32903169774917e-153,"0","MAL2"
2.04756468003018e-157,0.264169153192637,0.975,0.99,5.58043277895425e-153,"0","RPL36AL"
1.47014205635647e-156,0.943607707074517,0.557,0.519,4.00672516039391e-152,"0","PRSS8"
3.14317921773842e-156,0.60345562940154,0.766,0.813,8.56642064002429e-152,"0","VDAC2"
2.34170187939569e-154,0.805109640600137,0.616,0.618,6.38207430210501e-150,"0","UFM1"
2.83386944637576e-153,0.565000558314575,0.818,0.864,7.72342778915249e-149,"0","IFITM3"
1.32106814026265e-152,1.21780444073467,0.393,0.283,3.60043910947182e-148,"0","CH507-513H4.6"
1.32310193937879e-149,0.555568284102061,0.747,0.785,3.60598202558295e-145,"0","CTSD"
1.352724805001e-149,1.4667742831599,0.393,0.309,3.68671618354972e-145,"0","ZBTB10"
1.73270530890369e-148,0.556034224855665,0.75,0.788,4.72231504888613e-144,"0","ARF1"
2.98077276083365e-148,0.645763046819037,0.692,0.723,8.12379808237602e-144,"0","ARF4"
3.16035555715041e-148,1.16723529655318,0.362,0.243,8.61323303545773e-144,"0","SEPP1"
4.22794805628338e-146,1.39405460625059,0.503,0.462,1.15228496325947e-141,"0","GSTM3"
4.18491147441188e-145,0.902473303551486,0.573,0.557,1.14055577323621e-140,"0","KLF5"
6.97691184027634e-145,1.05639684862475,0.498,0.436,1.90148755294891e-140,"0","GALNT3"
1.83098035184705e-144,0.563411664416212,0.725,0.765,4.99015385092394e-140,"0","AHCYL1"
1.1745307575091e-143,1.36386399735454,0.314,0.203,3.20106612651529e-139,"0","BIK"
2.20648313940383e-142,0.428802207985318,0.93,0.954,6.01354914813121e-138,"0","CD9"
3.25435206207022e-142,1.15287484181657,0.47,0.41,8.86941110996617e-138,"0","SLC7A1"
3.37317803180915e-142,1.15983198786008,0.19,0.398,9.19325940789265e-138,"0","MT1X"
